
 Pos Name                  CA  Cond Cards  Status
 FB  Matteo Greco          71  100% 3Y     Fit
 AM  Ousmane Mensah        71  100%        Fit
 CB  Harry Mori            70  100%        Fit
 CM  Pietro Fontana        70  100% 3Y     Fit
 CB  Rafael Ward           70  100% 1Y     Fit
 CM  Ousmane Gallo         68  100% 4Y     Fit
 DM  Sandro Kovac          67  100% 4Y     Fit
 FB  Tommaso Vitale        67  100% 2Y     Fit
 GK  Dario Mori            66  100%        Fit
 W   Sandro Mensah         66  100% 2Y     Fit
 W   Pedro Diallo          65  100%        Fit
 FB  Owen Morales          64  100%        Fit
 DM  Bruno Ferrari         63  100%        Fit
 FB  Karl Barbieri         63  100% 1Y     Fit
 CM  Petar Pereira         63  100% 1Y     Fit
 AM  Andrea Ortega         62  100%        Fit
 GK  Ousmane Carvalho      61  100%        Fit
 ST  Rui Pereira           60  100%        Fit
 GK  Jonas Farina          58  100%        Fit
 ST  Ousmane Barbieri      57  100%        Fit
 CB  Owen Barbieri         56  100%        Fit
 CB  Hiro Horvat           55  100%        Fit
 W   Pedro Berg            52  100%        Fit
 FB  Franco Rinaldi        42  100%        Fit
 CM  Sami Moretti          36  100%        Fit
 ST  Enzo Babic            27  100%        Fit
 26 of 26 available to pick.
